Name,Type,Address,Website,Phone.Number,latitude,longitude,Charge,type2,type3
Angel Island Fun Park,Indoor playground,"924 NE Maynard Rd, Cary, NC 27513",https://angelislandusa.com,919-234-1340,35.8026338,-78.77025823,$,,
Angel Island Fun Park,Indoor playground,"3330 Westgate Dr, Durham, NC 27707",https://angelislandusa.com, 919-808-5939,35.96751776,-78.96129796,$,,
Backyard Paradise,Indoor playground,"3123-K Cedar Park Road Greensboro, NC 27405",https://www.byparadise.com,(910) 399-4870,36.05317206,-79.73043391,$,,
Blue Jay Play Cafe,Indoor playground,"1234 NC Hwy 210 Sneads Ferry, NC 28460",https://www.bluejayplaycafe.com/menu,(910) 620-3332,34.52879293,-77.43478165,$,,
Bumper Jumpers Indoor Playground,Indoor playground,"4217 W Gate City Blvd, Greensboro, NC 27407",https://www.bumperjumpers.com,(336) 855-0056,36.03560731,-79.86389925,$,,
Children's Museum & Sci Ctr,Kids Museum,270 Gay St Rocky Mount NC 27804,https://www.imperialcentre.org,,35.94626345,-77.7967,$,Storytime & classes,Other
Children's Museum-Alamance,Kids Museum,217 S Main St Graham NC 27253,https://www.childrensmuseumofalamance.org,,36.0674649,-79.4005,$,Storytime & classes,Other
Children's Museum-Jacksonville,Kids Museum,625 New Bridge St Jacksonville NC 28540,https://www.zingzumm.org,,34.74983759,-77.4242,$,Storytime & classes,Other
Children's Museum-Wilmington,Kids Museum,116 Orange St Wilmington NC 28401,https://www.playwilmington.org,,34.23279872,-77.9482,$,Storytime & classes,Other
Confet_ Soirée & Play,Indoor playground,"14212 Statesville Road Suite B1 Huntersville, NC 28078",https://confetewithme.com,(704) 274-5089,35.41037102,-80.85496784,$,,
Discovery Place Kids-Huntersville,Kids Museum,105 Gilead Rd Huntersville NC 28078,https://www.discoveryplacekids.org,,35.41073125,-80.8436,$,Storytime & classes,Other
Discovery Place Kids,Kids Museum,233 E Washington St Rockingham NC 28379,https://www.kids.discoveryplace.org,,34.93947365,-79.7732,$,Storytime & classes,Other
Eastway Regional Recreation Center,Rec Center,"3150 Eastway Pk Dr, Charlotte, NC 28213",https://parkandrec.mecknc.gov/Places-to-Visit/Rec-Centers/eastwayrec,,35.255118,-80.7754,Fee,Storytime & classes,Other
Fascinate-U Children's Museum,Kids Museum,116 Green St Fayetteville NC 28301,https://www.fascinate-u.com,,35.05289547,-78.8781,$,Storytime & classes,Other
Fit For Fun Center,Indoor playground,"302 S. 10th St. Wilmington, NC",https://www.wilmingtonnc.gov/Parks-Recreation/Facilities/Fit-For-Fun-Center,910.341.4630,34.2324681,-77.93637177,$,,
Fun City Indoor Playground,Indoor playground,"3551 Lackey St, Lumberton, NC 28360",https://www.facebook.com/people/Fun-City-Lumberton/100084554619842/,(910) 370-0720,34.64573483,-79.01477666,$,,
Funky Frogz Indoor Playground,Indoor playground,"814 Spring Lane, Sanford, NC 27330",https://funkyfrogz.fun,919-292-0599,35.48729331,-79.19379444,$,,
Funtown Play Cafe,Indoor playground,"4555 Charlotte Hwy Ste 19, Clover, SC 29710",https://www.funtown-playcafe.com,(803) 810-6500,35.1155558,-81.05712336,$,,
Greensboro Children's Museum,Kids Museum,220 N Church St Greensboro NC 27401,https://www.mbcmuseum.com,,36.07436735,-79.7866,$,Storytime & classes,Other
Grow Cafe,Indoor playground,"5342 Docia Crossing Road Charlotte, NC 28269",https://www.growcafeclt.com/?utm_source=google&utm_medium=wix_google_business_profile&utm_campaign=13374921817698656521,704 - 919- 0919,35.3671575,-80.7859155,$,Storytime & classes,Other
Hands On Children Museum,Kids Museum,318 N Main St Hendersonville NC 28792,https://www.handsonwnc.org,,35.31606674,-82.46,$,Storytime & classes,Other
Happy Feet Planet,Indoor playground,"3419 Apex Peakway Apex, NC 27502",https://happyfeetplanet.com,919-267-4384,35.71440642,-78.85570939,$,,
Happy Feet Planet,Indoor playground,"231 Guy Rd, Clayton, NC, 27520",https://happyfeetplanet.com,919-243-2218,35.64203499,-78.47953599,$,,
High Five Playhouse,Indoor playground,"10101 E Independence Blvd C, Matthews, NC 28105",https://highfiveplayhouse.com,(704) 443-7022,35.13166565,-80.7106154,$,,
Imagination Station,Kids Museum,224 Nash St S Wilson NC 27893,https://www.scienceandhistory.org,,35.724036,-77.91,$,Storytime & classes,Other
Imaginon: The Joe & Joan Martin Center (Free!),Indoor playground,"300 E 7th St Charlotte, NC 28202",https://www.imaginon.org,(704) 416-4600,35.2275591,-80.8376,,,
Island Time Drop-n-Play,Indoor playground,"222 Winner Avenue Carolina Beach, NC 28428",https://islandtimeplay.com,(910) 599-3741,34.0400506,-77.89550899,$,,
Just Play,Indoor playground,"9535 South Blvd A, Charlotte, NC 28273",justplay.net,(704) 885-7529,35.10605425,-80.88096236,$,,
Kaleideum,Kids Museum,400 W Hanes Mill Rd Winston Salem NC 27105,https://www.kaleideum.org,,36.18463641,-80.2821,$,Storytime & classes,Other
Kiddy Town,Indoor playground,"3392 S Church St, Burlington, NC 27215",https://www.infokiddytown.com,(336) 447-5943,36.08029133,-79.51478027,$,,
Kidnetix NC,Indoor playground,"2815 Carolina Commerce Dr Suite A & B, Goldsboro, NC 27530",https://www.facebook.com/people/Kidnetix-NC/61573136678685/?_rdr,,35.422162,35.422162,$,,
Kids Indoor Playground,Indoor playground,"905 Old Winston Rd, Kernersville, NC 27284",https://trianglefitness.net,(336) 993-7247,36.11218418,-80.09652525,$,,
Kidsenses Children's Museum,Kids Museum,172 N Main St Rutherfordton NC 28139,https://www.kidsenses.org,,35.36773204,-81.9571,$,Storytime & classes,Other
Kidzu Children's Museum,Kids Museum,201 S Estes Dr Chapel Hill NC 27514,https://www.kidzuchildrensmuseum.org,,35.92647759,-79.028,$,Storytime & classes,Other
Lemon Rose Play Cafe,Indoor playground,"6886 Beach Dr. SW Ocean Isle Beach, NC 28469",https://www.facebook.com/lemonroseplaycafe/,(910) 616-8709,33.8994976,-78.46624609,$,,
Liberty PlayTown,Indoor playground,"3211 Ray Road Spring Lake, NC 28390",https://www.libertyplaytown.com,(910) 568-0041,35.25373993,-78.96700559,$,,
Little Bee Indoor Playground,Indoor playground,"1910 S Glenburnie Rd. New Bern, NC 28562",https://www.littlebeeindoorplay.com,252.631.1606,35.10394793,-77.09974706,$,,
Little Doodles Play Cafe,Indoor playground,"6548 Glenwood Avenue Raleigh, NC 27613",https://littledoodlesplaycafe.com,(984) 269-7076,35.85962935,-78.70731096,$,,
Little Doodles Play Cafe,Indoor playground,"11 W 3rd Street Wendell, NC 27591",https://littledoodlesplaycafe.com,(919) 374-7178,35.78099716,-78.37002921,$,,
"M.A.P.L.E. Learning & Fun, Jr.",Indoor playground,"131 Evergreen Rd Ste 107, Lake Wylie, SC 29710",https://mapleleafjr.com, (803) 281-2875,35.1162332,-81.0770516,$,,
MEGAPLAY,Indoor playground,1233 Hargett St Jacksonville NC 28540,https://www.megaplayusa.com,910-939-2642,34.75071024,-77.41363939,$,,
MEGAPLAY Spring Lake,Indoor playground,217 Skyland Plz Spring Lake NC 28390,www.megaplayusa.com,(910) 339-9119,35.24225934,-78.93922204,$,,
Mountain Play Lodge,Indoor playground,"3389 Sweeten Creek Rd Arden, NC 28704",https://www.mountainplaylodge.com,828-676-2120,35.48351494,-82.51828272,$,,
Over The Moon Play Space,Indoor playground,"653 Cary Towne Blvd Cary, NC 27511",https://www.overthemoonplay.com,(919) 238-9229,35.77557046,-78.76638593,$,,
Piney Town Playhouse,Indoor playground,"1520 N Broad St Fuquay-Varina, North Carolina",https://www.pineytown.com,919-902-7244,35.60420284,-78.80382822,$,,
Play Area (Mall),Indoor playground,"11025 Carolina Pl Pkwy, Pineville, NC 28134",NA,(704) 543-9300,35.0827482,-80.87961814,$,,
Play House Play Café,Indoor playground,"3463 US-21 Suite 109, Fort Mill, SC 29715",https://www.playhouseplaycafe.com,(704) 336-9159,35.07152574,-80.93509341,$,,
PlayFunParty Fayetteville,Indoor playground,"4902 Yadkin Rd Suite 200, Fayetteville, NC 28303",http://www.playfunparty.com,(910) 339-6451,35.08213006,-78.96483134,$,,
PlayFunParty Fuquay Varina,Indoor playground,"2908 N Main St #100, Fuquay-Varina, NC 27526",http://www.playfunparty.com,(919) 346-1014,35.61651185,-78.7346652,$,,
Playland Indoor Playground & Café,Indoor playground,"122 Trade Ct, Mooresville, NC 28117",https://playlandmooresville.com, (704) 360-4037,35.55506482,-80.85554715,$,,
Playland Indoor Playground & Cafe ,Indoor playground,"11812 Carolina Pl Pkwy, Pineville, NC 28134",https://www.playhouseplaycafe.com, (704) 900-7581,35.07371545,-80.8804791,$,,
Playland Indoor Playground + Café,Indoor playground,"2700 Gray Fox Rd, Monroe, NC 28110",https://playlandnc.com,(704) 776-9314,35.0556565,-80.62585815,$,,
PlayTopia Indoor Playground,Indoor playground,"761 Riverview Road Rock Hill, SC 29730",https://www.playtopiarockhill.com,803-320-3547,34.96810583,-80.98598738,$,,
Plum Krazy Play,Indoor playground,"2616 E Main St, Lincolnton, NC 28092",https://plumkrazyplay.com,(704) 240-4449,35.48150367,-81.20737651,$,,
Pollywog’s Play Pad,Indoor playground,"160 Suite G Pinehurst Avenue, Southern Pines 28387",https://www.pollywogsplaypad.com,910-704-9881,35.15922337,-79.41443999,$,,
Port Discover,Kids Center,611 E Main St Elizabeth City NC 27909,https://www.portdiscover.org,,36.29967218,-76.2195,$,Storytime & classes,Other
Pretty Princess Play Palace,Indoor playground,"11014 Monroe Rd, Matthews, NC 28105",https://prettyprincessplaypalace.com,(980) 339-5921,35.13123385,-80.73500774,$,,
Puddle Jumpers Indoor Play Center,Indoor playground,"8600 NC-Hwy 150 Terrell, NC 28682",https://www.puddle-jumpers.com,(980) 429-3721,35.59097552,-80.9729038,$,,
Qubein Children's Museum,Kids Museum,200 Qubein Ave High Point NC 27262,https://www.qubeinchildrensmuseum.org,,35.96644246,-80.0108,$,Storytime & classes,Other
Quest at Latta Nature Preserve,Nature Center,"6345 Sample Rd, Huntersville, NC 28078",https://parkandrec.mecknc.gov/Places-to-Visit/Nature/quest-latta-nature-preserve,,35.358013,-80.9071,Free,Storytime & classes,Other
Reedy Creek Nature Center,Nature Center,"2986 Rocky River Road, Charlotte, NC 28215",https://parkandrec.mecknc.gov/Places-to-Visit/Nature/reedy-creek-nature-center,,35.261977,-80.7198,Free,Storytime & classes,Other
Romp n' Roll,Indoor playground,"10020 Edison Square NW, Ste. 201 / 202, Concord, NC 28027",https://rompnroll.com,980-981-6616,35.40210293,-80.75997351,$,,
Romp n' Roll,Indoor playground,"6210 Plantation Center Drive Suite 101, Raleigh, NC 27616",https://rompnroll.com,919-615-0819,35.87186609,-78.58342493,$,,
Romp n' Roll,Indoor playground,"3611 Mt Holly-Huntersville Rd Suite 207, Charlotte, NC 28216",https://rompnroll.com,704-837-0806,35.325089,-80.946328,$,,
Safari Nation,Indoor playground,"230 E Parris Ave, High Point, NC 27262",https://www.thesafarination.com/high-point/,(336) 515-1870,35.98516172,-80.01951574,$,,
Safari Nation,Indoor playground,"3191 Peters Creek Parkway,Winston Salem, NC 27127",https://www.thesafarination.com/winston-salem/,(336) 523-3355,36.04411977,-80.25966623,$,,
Safari Nation,Indoor playground,"3900-H W. Market St.Greensboro, NC 27407",https://www.thesafarination.com/greensboro/,336-315-5115,36.069959,-79.852941,$,,
Seymour Johnson Air Force Base Kiddie Hawk Playground (Free),Indoor playground,"1515 Goodson St, Goldsboro, NC 27531",https://sjfss.com/kiddie-hawk-playground/, (919) 722-8684,35.35222186,-77.96782967,$,,
Spirited Sprout,Indoor playground,"136 Waxhaw Pkwy suite d, Waxhaw, NC 28173",https://www.spiritedsproutplay.com, (704) 776-6472,34.93333568,-80.75157741,$,,
Steele Creek Community Place,Indoor playground,"13501 S Tryon St, Charlotte, NC 28278",https://www.steelecreekcommunityplace.org,,35.097559,-80.996681,Free ,Storytime & classes,Other
The Baby Bar,Indoor playground,"1500 Mill St #106, Greensboro, NC 27408",https://www.thebabybargreensboro.com, (336) 485-8237,36.0885708,-79.81160798,$,,
The Bunny Hive Charlotte,Social Club,"1207 East Blvd, Charlotte, NC 28203",https://thebunnyhive.com/charlotte,(704) 877-5576 ,35.203524,-80.846284,$,Storytime & classes,Other
The Bunny Hive Raleigh,Social Club,"711 W Lane St, Raleigh, NC 27603",https://thebunnyhive.com/raleigh,(919) 623-3376,35.78416678,-78.64925538,$,Storytime & classes,Other
The Cub House Play Cafe,Indoor playground,"1621 NC-42, Clayton, NC 27520",https://cubhouseplayspace.com,(919) 585-2066,35.64678397,-78.41395085,$,,
The Fun Factory,Indoor playground,"120 N Church St Salisbury, Rowan County 28144",https://www.thefunfactorydowntown.com,(980) 565-5494,35.66857164,-80.47077667,$,,
The Fun Train Playground,Indoor playground,"2617 Executive Point Dr, Monroe, NC 28110",https://funtrainplayground.com, (704) 776-4181,35.04734869,-80.61418832,$,,
The Wonder Lab,Indoor playground,"3709-A University Drive Durham, NC 27707",https://www.wonderlabdurham.com,919-213-8527,35.96690868,-78.94960001,$,,
Town Of Fun,Indoor playground,"1000 Lower Shiloh Way Suite 100, Morrisville, NC 27560",https://www.townoffun.com,(919) 797-0112,35.86477722,-78.84613547,$,,
Uwharrie Play Oasis,Indoor playground,"805 N 1st Street Albemarle, NC 28001",https://linktr.ee/uwharrieplayoasis, (704) 550-5206,35.36312499,-80.19872802,$,,
Velocity 360 Fun Zone,Indoor playground,"4435 Monument Trce, Greensboro, NC 27409",https://www.velocity360funzone.com, (336) 554-4922,36.05047,-79.936061,$,,
We Kan Go Play,Indoor playground,"226 S Main Street Mount Holly, NC 28120",https://www.wekangoplay.com,(704) 820-8989,35.2952431,-81.01646238,$,,
Wingheaven ,Nature Center,"260 Ridgewood Ave Charlotte, NC, 28209",https://winghavengardens.org,(704) 331-0664,35.179059,-80.8413,Fee,Storytime & classes,Other